NOME,QoE,TerminoPartida,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,JogariaNovamente,EstadoEspirito
Player 74,0,17.1,0,40,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,17.12,0,35,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,17.14,0,30,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,17.19,40,35,30,0,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,17.2,0,35,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,1,17.23,35,35,40,0,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,17.25,35,40,30,40,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,5,17.28,40,30,0,40,20.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,17.29,35,40,0,30,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,17.3,0,30,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,17.31,0,30,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,17.33,0,0,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,17.34,30,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.06,40,35,40,30,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.1,0,30,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,4,19.11,35,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,19.13,40,40,40,30,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.15,35,0,30,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.22,0,35,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,19.23,40,40,0,30,20.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,4,19.26,0,35,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,4,19.27,35,35,30,40,0.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,19.28,40,40,30,30,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.29,35,35,30,40,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,5,19.31,40,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,19.33,30,30,30,40,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.34,30,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.36,40,40,30,0,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,4,19.37,0,35,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,6,19.38,35,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,19.4,40,0,40,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.41,30,40,30,0,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,19.43,0,40,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,19.49,40,35,0,40,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,4,20.09,35,40,40,30,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,20.12,30,30,30,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,20.13,0,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,20.16,0,40,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,20.22,0,30,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,20.23,40,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,20.25,35,30,40,30,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,20.26,35,0,40,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,6,20.27,35,30,40,30,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,20.28,0,35,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,20.35,0,30,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,20.38,30,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,20.4,35,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,20.56,0,30,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,20.58,40,35,30,40,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.0,0,40,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.01,30,30,40,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.09,0,30,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,21.11,35,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,21.13,40,40,30,30,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.14,30,35,40,0,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.45,40,0,30,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.47,0,40,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.48,0,30,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,4,21.5,40,40,30,30,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,5,21.51,0,0,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,4,21.52,30,35,40,0,0.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,21.53,40,35,40,0,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.55,30,40,40,30,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,21.56,0,35,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,5,21.57,35,35,40,30,0.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,22.0,40,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,22.03,30,0,40,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,22.04,30,40,30,30,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,22.05,0,30,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,22.08,40,40,30,30,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,4,22.12,0,35,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,5,22.13,35,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,6,22.15,0,0,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,4,22.17,40,35,40,40,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,22.18,0,35,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,22.2,40,30,40,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,6,22.21,40,40,40,30,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,4,22.22,35,35,0,40,20.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,0,22.23,40,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,0,22.25,35,35,40,0,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 44,5,22.26,0,40,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 44,6,22.27,35,0,0,0,10.0,0.0,Spelunky,SIM,Indiferente
Player 44,0,22.3,30,35,30,40,0.0,20.0,Spelunky,NAO,Indiferente
Player 44,0,22.32,0,40,0,30,0.0,20.0,Spelunky,NAO,Indiferente
Player 44,0,22.34,0,40,0,30,0.0,10.0,Spelunky,NAO,Indiferente
Player 44,0,22.35,0,40,0,30,0.0,10.0,Spelunky,NAO,Indiferente
Player 44,0,22.37,0,35,0,40,0.0,10.0,Spelunky,NAO,Indiferente
Player 44,6,22.39,35,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,16.47,0,0,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,5,16.5,40,35,0,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,5,16.57,0,30,0,30,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,16.58,40,40,40,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,5,17.03,0,40,0,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,17.05,0,40,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,4,17.06,35,40,0,40,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,1,17.07,35,0,30,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,17.09,30,30,30,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,17.1,0,35,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,17.12,0,35,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,17.14,40,30,0,30,0.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,17.15,40,0,40,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,17.17,35,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Triste
Player 74,0,17.18,0,40,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,17.21,35,0,40,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,17.22,30,35,40,30,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,5,17.24,35,35,0,0,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,1,17.25,35,0,40,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,17.26,40,35,30,40,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,17.28,0,30,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,17.3,35,0,30,0,5.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,17.31,30,40,40,0,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,4,17.36,40,35,40,30,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,17.4,40,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,17.41,0,35,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,17.43,35,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,5,17.46,40,40,0,0,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,17.5,0,40,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,17.51,0,35,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,4,17.54,0,40,0,30,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,17.55,0,35,0,0,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,17.58,0,0,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,18.02,35,35,0,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,1,18.05,0,35,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,18.1,40,30,40,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,18.11,0,40,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,18.15,0,35,0,30,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,18.17,35,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,18.18,35,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,18.2,30,0,40,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,18.22,0,40,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,18.28,40,35,40,0,0.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,5,14.03,0,0,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.04,0,30,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,14.07,35,30,0,40,0.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,14.08,0,40,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.14,0,40,0,40,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,5,14.15,40,40,0,30,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,5,14.16,35,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.21,0,35,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,3,14.23,0,35,0,30,20.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.25,0,30,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,14.26,30,40,30,0,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,1,14.28,0,30,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,14.29,40,40,0,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.31,30,40,30,40,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,14.32,40,40,30,0,10.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,5,14.37,35,0,30,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,14.39,35,35,0,40,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.4,30,35,30,0,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,14.43,35,0,30,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,14.44,35,0,40,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,5,14.46,35,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.47,30,35,40,40,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,14.49,35,0,0,0,20.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,14.5,35,0,40,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,14.58,30,35,30,0,20.0,20.0,Spelunky,NAO,Triste
Player 74,1,15.01,30,30,30,40,20.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,15.06,0,30,0,40,0.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,15.07,0,30,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,3,12.24,0,35,0,30,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,12.26,40,40,30,40,5.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,6,12.29,0,35,0,0,0.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,12.3,30,0,30,0,20.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,12.32,40,0,0,0,10.0,10.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,12.33,0,30,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,12.34,0,40,0,40,0.0,10.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,12.38,0,40,0,30,20.0,20.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,0,12.4,0,35,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,12.42,30,0,40,0,10.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,0,12.43,0,30,0,30,0.0,20.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,6,12.46,0,0,0,0,10.0,0.0,Rise of Tomb Raider,SIM,Indiferente
