NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,TerminoPartida,JogariaNovamente,EstadoEspirito,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 5,0,,,,,,25,25,20,25,10.0,10.0,Rise of Tomb Raider,13.15,NAO,Indiferente,,,,,,,,,
Player 44,0,,,,,,0,40,0,40,0.0,20.0,Rise of Tomb Raider,21.0,NAO,Indiferente,,,,,,,,,
Player 1,2,3.0,26.0,16.0,7.0,8.0,125,50,10,15,1.0,1.0,Spelunky,17.01,,,,,,,,,,,
Player 3,2,3.0,37.0,15.0,9.0,9.0,0,75,0,15,0.0,2.0,Half-Life 2,18.15,,,,,,,,,,,
Player 74,6,,,,,,40,0,0,0,10.0,10.0,Rise of Tomb Raider,12.32,SIM,Indiferente,,,,,,,,,
Player 74,2,,,,,,30,2,15,10,0.0,0.0,Rise of Tomb Raider,17.07,SIM,Indiferente,,,,,,,,,
Player 3,3,3.0,75.0,26.0,9.0,9.0,0,75,0,25,0.0,1.5,Half-Life 2,16.24,,,,,,,,,,,
Player 1,5,3.0,43.0,16.0,9.0,9.0,0,75,0,15,0.0,2.0,Half-Life 2,19.36,,,,,,,,,,,
Player 1,3,3.0,70.0,27.0,34.0,29.0,75,125,10,5,0.0,1.5,Half-Life 2,18.48,,,,,,,,,,,
Player 44,0,,,,,,0,40,0,40,0.0,20.0,Rise of Tomb Raider,22.02,NAO,Indiferente,,,,,,,,,
Player 3,3,3.0,38.0,14.0,9.0,9.0,50,0,0,0,0.5,0.0,Half-Life 2,14.42,,,,,,,,,,,
Player 1,5,3.0,55.0,15.0,36.0,31.0,50,0,15,0,3.0,0.0,Half-Life 2,19.17,,,,,,,,,,,
Player 29,3,4.0,33.0,16.0,8.0,9.0,125,0,15,0,1.0,0.0,Half-Life 2,17.7,NAO,Indiferente,25.0,F,Física,4.0,1080p,75.0,Nenhum,0.0,Mouse
Player 44,0,,,,,,0,35,0,40,0.0,20.0,Rise of Tomb Raider,20.28,NAO,Indiferente,,,,,,,,,
Player 44,6,,,,,,15,2,10,5,2.5,2.5,Rise of Tomb Raider,14.52,SIM,Indiferente,,,,,,,,,
Player 1,4,3.0,38.0,15.0,9.0,9.0,0,50,0,20,0.0,1.5,Half-Life 2,17.57,,,,,,,,,,,
Player 1,3,3.0,65.0,26.0,34.0,29.0,50,0,25,0,1.5,0.0,Half-Life 2,18.34,,,,,,,,,,,
Player 1,6,3.0,39.0,15.0,9.0,9.0,25,100,0,5,3.0,3.0,Half-Life 2,18.13,,,,,,,,,,,
Player 3,2,3.0,37.0,15.0,9.0,9.0,0,50,0,25,0.0,0.5,Half-Life 2,19.22,,,,,,,,,,,
Player 74,1,,,,,,20,0,20,0,5.0,0.0,Rise of Tomb Raider,12.46,NAO,Indiferente,,,,,,,,,
Player 1,4,3.0,26.0,18.0,19.0,14.0,75,0,15,0,0.5,0.0,FEAR,14.19,,,,,,,,,,,
Player 10,4,4.0,1.0,10.0,0.0,4.0,0,150,0,5,0.0,0.5,Half-Life 2,14.6,NAO,Indiferente,23.0,M,Sistemas de Informação,0.0,1080p,60.0,Nenhum,0.0,Nenhum
Player 1,4,3.0,38.0,15.0,9.0,9.0,100,150,15,10,1.0,1.0,Spelunky,19.06,,,,,,,,,,,
Player 74,0,,,,,,0,40,0,30,0.0,20.0,Rise of Tomb Raider,13.07,NAO,Indiferente,,,,,,,,,
Player 5,4,,,,,,40,0,0,0,20.0,20.0,Rise of Tomb Raider,15.35,SIM,Indiferente,,,,,,,,,
Player 3,2,3.0,66.0,18.0,8.0,9.0,75,0,15,0,2.0,0.0,Half-Life 2,19.55,,,,,,,,,,,
Player 12,4,4.0,40.0,15.0,10.0,10.0,0,25,0,10,0.0,0.0,Half-Life 2,,SIM,Indiferente,29.0,F,Mestrado Ciências da Computação,0.0,-1080p,60.0,Nenhum,0.0,Nenhum
Player 3,5,3.0,35.0,18.0,8.0,9.0,0,75,0,10,0.0,0.0,Half-Life 2,16.40,,,,,,,,,,,
Player 74,0,,,,,,0,30,0,40,0.0,10.0,Rise of Tomb Raider,14.21,NAO,Indiferente,,,,,,,,,
Player 3,4,3.0,39.0,14.0,9.0,10.0,25,100,20,20,0.5,0.5,Half-Life 2,15.36,,,,,,,,,,,
Player 44,0,,,,,,30,0,10,0,0.0,0.0,Rise of Tomb Raider,15.07,NAO,Indiferente,,,,,,,,,
Player 6,1,3.0,49.0,15.0,29.0,25.0,0,100,0,10,0.0,0.5,Half-Life 2,10.19,,,,,,,,,,,
Player 3,6,3.0,36.0,14.0,9.0,9.0,0,100,0,20,0.0,0.0,Half-Life 2,18.39,,,,,,,,,,,
Player 18,6,3.0,26.0,16.0,10.0,10.0,75,25,15,0,2.5,2.5,Half-Life 2,17.6,SIM,Feliz,19.0,M,Física,8.0,1080p,60.0,Nenhum,0.0,Mouse
Player 3,1,3.0,38.0,14.0,9.0,9.0,125,0,5,0,2.0,0.0,Half-Life 2,14.59,,,,,,,,,,,
Player 1,4,3.0,9.0,12.0,9.0,9.0,100,0,10,0,1.5,0.0,Spelunky,12.01,,,,,,,,,,,
Player 1,1,3.0,22.0,16.0,18.0,13.0,150,0,15,0,3.0,0.0,FEAR,13.20,,,,,,,,,,,
Player 44,0,,,,,,0,40,0,30,0.0,20.0,Rise of Tomb Raider,20.16,NAO,Indiferente,,,,,,,,,
Player 5,2,3.0,35.0,15.0,9.0,9.0,50,0,15,0,0.5,0.0,Half-Life 2,15.30,,,,,,,,,,,
Player 3,4,3.0,36.0,14.0,9.0,9.0,25,0,15,0,3.0,0.0,Half-Life 2,17.40,,,,,,,,,,,
Player 3,3,3.0,40.0,14.0,8.0,9.0,0,50,0,20,0.0,0.5,Half-Life 2,19.25,,,,,,,,,,,
Player 1,5,3.0,29.0,13.0,9.0,9.0,0,75,0,25,0.0,2.0,Spelunky,14.30,,,,,,,,,,,
Player 74,6,,,,,,40,30,0,40,0.0,10.0,Rise of Tomb Raider,13.1,SIM,Indiferente,,,,,,,,,
Player 3,3,3.0,37.0,14.0,9.0,9.0,0,125,0,0,0.0,2.0,Half-Life 2,19.55,,,,,,,,,,,
Player 3,4,3.0,37.0,15.0,9.0,9.0,50,0,15,0,3.0,0.0,Half-Life 2,16.23,,,,,,,,,,,
Player 1,3,3.0,32.0,18.0,26.0,19.0,0,50,0,25,0.0,1.5,FEAR,19.33,,,,,,,,,,,
Player 1,5,,,,,,10,2,5,10,2.0,2.0,Spelunky,17.42,SIM,Indiferente,,,,,,,,,
Player 3,2,3.0,37.0,14.0,9.0,9.0,0,100,0,10,0.0,1.0,Half-Life 2,15.18,,,,,,,,,,,
Player 5,5,,,,,,0,30,0,0,0.0,5.0,Rise of Tomb Raider,12.57,SIM,Indiferente,,,,,,,,,
Player 83,5,,,,,,0,10,0,0,0.0,2.5,Rise of Tomb Raider,20.33,SIM,Feliz,,,,,,,,,
Player 1,1,3.0,78.0,58.0,9.0,9.0,100,50,15,10,2.5,2.5,Half-Life 2,14.03,,,,,,,,,,,
Player 1,6,3.0,38.0,15.0,9.0,9.0,0,75,0,0,0.0,0.0,Half-Life 2,17.08,,,,,,,,,,,
Player 81,6,,,,,,15,0,15,0,5.0,5.0,Spelunky,11.39,SIM,Indiferente,,,,,,,,,
Player 45,6,4.0,26.0,16.0,20.0,15.0,0,50,0,0,0.0,2.5,FEAR,12.0,SIM,Feliz,19.0,M,Matemática,8.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 1,2,3.0,40.0,15.0,9.0,9.0,0,75,0,15,0.0,3.0,Half-Life 2,16.46,,,,,,,,,,,
Player 5,5,,,,,,2,0,25,0,10.0,0.0,Rise of Tomb Raider,13.24,SIM,Indiferente,,,,,,,,,
Player 5,2,3.0,33.0,15.0,8.0,8.0,0,125,0,15,0.0,1.5,Half-Life 2,15.32,,,,,,,,,,,
Player 74,1,,,,,,0,25,0,20,0.0,3.0,Rise of Tomb Raider,16.4,NAO,Indiferente,,,,,,,,,
Player 1,5,3.0,67.0,58.0,9.0,9.0,50,50,25,5,2.5,2.5,Spelunky,16.01,,,,,,,,,,,
Player 1,6,3.0,24.0,13.0,7.0,8.0,0,150,0,10,0.0,0.0,Spelunky,16.03,,,,,,,,,,,
Player 3,4,3.0,36.0,14.0,8.0,8.0,50,50,20,5,3.0,3.0,Half-Life 2,15.09,,,,,,,,,,,
Player 3,2,3.0,37.0,14.0,9.0,9.0,50,0,20,0,3.0,0.0,Half-Life 2,21.22,,,,,,,,,,,
Player 18,5,3.0,38.0,17.0,10.0,10.0,50,100,0,20,1.0,1.0,Half-Life 2,16.4,SIM,Feliz,19.0,M,Física,8.0,1080p,60.0,Nenhum,0.0,Mouse
Player 1,1,3.0,79.0,34.0,23.0,21.0,0,100,0,10,0.0,3.0,Half-Life 2,16.41,,,,,,,,,,,
Player 1,1,3.0,39.0,15.0,9.0,9.0,100,0,15,0,0.5,0.0,Half-Life 2,17.14,,,,,,,,,,,
Player 81,5,,,,,,0,20,0,12,0.0,5.0,Spelunky,11.59,,Indiferente,,,,,,,,,
Player 74,1,,,,,,30,40,30,0,0.0,10.0,Rise of Tomb Raider,14.26,NAO,Indiferente,,,,,,,,,
Player 5,5,3.0,32.0,14.0,9.0,9.0,100,50,25,5,0.5,0.5,Spelunky,17.53,,,,,,,,,,,
Player 3,3,3.0,35.0,15.0,8.0,8.0,0,50,0,5,0.0,2.5,Half-Life 2,19.16,,,,,,,,,,,
Player 3,0,3.0,50.0,16.0,35.0,30.0,150,25,15,10,0.5,0.5,Half-Life 2,18.37,,,,,,,,,,,
Player 44,0,,,,,,35,30,30,40,10.0,10.0,Spelunky,22.22,NAO,Indiferente,,,,,,,,,
Player 3,3,3.0,40.0,14.0,9.0,9.0,75,75,5,25,1.0,1.0,Half-Life 2,19.26,,,,,,,,,,,
Player 1,6,3.0,39.0,15.0,8.0,9.0,0,50,0,20,0.0,0.0,Half-Life 2,20.05,,,,,,,,,,,
Player 3,5,3.0,41.0,14.0,9.0,10.0,50,0,10,0,0.5,0.5,Half-Life 2,18.01,,,,,,,,,,,
Player 1,5,3.0,22.0,14.0,8.0,8.0,0,50,0,10,0.0,1.5,Spelunky,18.03,,,,,,,,,,,
Player 1,2,,,,,,0,20,0,10,0.0,2.5,Spelunky,18.27,NAO,Indiferente,,,,,,,,,
Player 1,4,3.0,55.0,16.0,21.0,19.0,75,0,20,0,1.0,0.0,Half-Life 2,18.39,,,,,,,,,,,
Player 78,4,3.0,21.0,16.0,17.0,13.0,25,0,20,0,0.5,0.0,FEAR,17.7,SIM,Feliz,19.0,M,Engenharia Elétrica,4.0,1080p,60.0,Nenhum,0.0,Mouse
Player 36,3,3.0,21.0,17.0,23.0,16.0,100,0,25,0,2.5,0.0,FEAR,15.1,SIM,Feliz,27.0,M,Mestrado Física,-1.0,1080p,60.0,Nenhum,0.0,Manete
Player 3,1,3.0,48.0,15.0,35.0,30.0,125,100,5,10,3.0,3.0,Half-Life 2,17.50,,,,,,,,,,,
Player 1,2,3.0,76.0,20.0,20.0,17.0,100,75,5,0,3.0,3.0,Half-Life 2,22.34,,,,,,,,,,,
Player 1,4,3.0,45.0,13.0,26.0,23.0,0,50,0,5,0.0,2.0,Half-Life 2,18.00,,,,,,,,,,,
Player 3,2,3.0,29.0,15.0,9.0,9.0,150,0,0,0,2.5,0.0,Half-Life 2,,NAO,Indiferente,29.0,M,Doutorado Física,8.0,1080p,144.0,Nenhum,0.0,Mouse
Player 1,0,3.0,39.0,15.0,9.0,9.0,100,150,5,5,2.5,2.5,Half-Life 2,20.45,,,,,,,,,,,
Player 1,1,3.0,32.0,14.0,9.0,9.0,75,0,20,0,1.0,0.0,Half-Life 2,16.34,,,,,,,,,,,
Player 3,5,3.0,39.0,14.0,9.0,9.0,50,75,10,0,0.0,0.0,Half-Life 2,18.41,,,,,,,,,,,
Player 63,2,3.0,24.0,15.0,10.0,10.0,150,50,25,0,2.0,2.0,Half-Life 2,15.8,NAO,Indiferente,61.0,M,Ensino Médio,0.0,-1080p,60.0,Nenhum,0.0,Mouse
Player 1,1,3.0,16.0,13.0,6.0,7.0,125,0,15,0,2.5,0.0,Spelunky,16.20,,,,,,,,,,,
Player 74,3,,,,,,0,15,0,15,0.0,1.5,Rise of Tomb Raider,16.02,SIM,Indiferente,,,,,,,,,
Player 1,4,3.0,30.0,14.0,8.0,9.0,0,50,0,25,0.0,0.5,Half-Life 2,23.16,,,,,,,,,,,
Player 5,3,3.0,40.0,13.0,27.0,24.0,125,0,25,0,3.0,0.0,Half-Life 2,14.33,,,,,,,,,,,
Player 3,3,3.0,37.0,15.0,9.0,9.0,50,0,20,0,0.5,0.0,Half-Life 2,17.29,,,,,,,,,,,
Player 63,3,4.0,25.0,15.0,10.0,10.0,0,125,0,0,0.0,0.0,Half-Life 2,15.3,NAO,Indiferente,61.0,M,Ensino Médio,0.0,-1080p,60.0,Nenhum,0.0,Mouse
Player 1,5,3.0,39.0,14.0,9.0,9.0,0,50,0,5,0.0,3.0,Half-Life 2,15.46,,,,,,,,,,,
Player 1,0,3.0,36.0,13.0,9.0,9.0,150,0,25,0,0.5,0.0,Half-Life 2,14.14,,,,,,,,,,,
Player 3,3,3.0,47.0,22.0,9.0,9.0,0,50,0,10,0.0,2.0,Half-Life 2,13.10,,,,,,,,,,,
Player 74,0,,,,,,25,20,12,15,10.0,10.0,Rise of Tomb Raider,14.45,NAO,Indiferente,,,,,,,,,
Player 1,6,,,,,,20,30,0,15,1.5,1.5,Rise of Tomb Raider,21.11,SIM,Indiferente,,,,,,,,,
Player 44,5,,,,,,15,20,0,10,2.0,2.0,Rise of Tomb Raider,13.45,SIM,Indiferente,,,,,,,,,
Player 3,1,3.0,36.0,16.0,8.0,9.0,75,0,15,0,1.0,0.0,Half-Life 2,15.21,,,,,,,,,,,
Player 1,3,3.0,36.0,16.0,8.0,9.0,0,100,0,5,0.0,2.5,Half-Life 2,17.29,,,,,,,,,,,
